kmer_start	kmer_end	n_enriched	n_depleted	group_JW	series_id	gene_start	gene_end	gene	group	kmer	region	series_id_2	series_id_3
3086	3100	0	5	dep_ex	3086	266	21555	ORF1ab	C	all	pc	51	3
3087	3101	0	6	dep_ex	3087	266	21555	ORF1ab	C	all	pc	52	3
3088	3102	0	7	dep_ex	3088	266	21555	ORF1ab	C	all	pc	53	3
3089	3103	0	8	dep_ex	3089	266	21555	ORF1ab	C	all	pc	54	3
3090	3104	0	9	dep_ex	3090	266	21555	ORF1ab	C	all	pc	55	3
3091	3105	0	10	dep_ex	3091	266	21555	ORF1ab	C	all	pc	56	3
3092	3106	0	11	dep_ex	3092	266	21555	ORF1ab	C	all	pc	57	3
3093	3107	0	12	dep_ex	3093	266	21555	ORF1ab	C	all	pc	58	3
3094	3108	0	13	dep_ex	3094	266	21555	ORF1ab	C	all	pc	59	3
3095	3109	0	14	dep_ex	3095	266	21555	ORF1ab	C	all	pc	60	3
3096	3110	0	15	dep_ex	3096	266	21555	ORF1ab	C	all	pc	61	3
3097	3111	0	14	dep_ex	3097	266	21555	ORF1ab	C	all	pc	62	3
3098	3112	0	13	dep_ex	3098	266	21555	ORF1ab	C	all	pc	63	3
3099	3113	0	12	dep_ex	3099	266	21555	ORF1ab	C	all	pc	64	3
3100	3114	0	11	dep_ex	3100	266	21555	ORF1ab	C	all	pc	65	3
3101	3115	0	10	dep_ex	3101	266	21555	ORF1ab	C	all	pc	66	3
3102	3116	0	9	dep_ex	3102	266	21555	ORF1ab	C	all	pc	67	3
3103	3117	0	8	dep_ex	3103	266	21555	ORF1ab	C	all	pc	68	3
3104	3118	0	7	dep_ex	3104	266	21555	ORF1ab	C	all	pc	69	3
3105	3119	0	6	dep_ex	3105	266	21555	ORF1ab	C	all	pc	70	3
3106	3120	0	5	dep_ex	3106	266	21555	ORF1ab	C	all	pc	71	3
3107	3121	0	4	dep_ex	3107	266	21555	ORF1ab	C	all	pc	72	3
3108	3122	0	3	dep_ex	3108	266	21555	ORF1ab	C	all	pc	73	3
3109	3123	0	2	dep_ex	3109	266	21555	ORF1ab	C	all	pc	74	3
3110	3124	0	1	dep_ex	3110	266	21555	ORF1ab	C	all	pc	75	3
6986	7000	0	1	dep_ex	6986	266	21555	ORF1ab	C	all	pc	76	3
6987	7001	0	2	dep_ex	6987	266	21555	ORF1ab	C	all	pc	77	3
6988	7002	0	3	dep_ex	6988	266	21555	ORF1ab	C	all	pc	78	3
6989	7003	0	4	dep_ex	6989	266	21555	ORF1ab	C	all	pc	79	3
6990	7004	0	5	dep_ex	6990	266	21555	ORF1ab	C	all	pc	80	3
6991	7005	0	5	dep_ex	6991	266	21555	ORF1ab	C	all	pc	81	3
6992	7006	0	5	dep_ex	6992	266	21555	ORF1ab	C	all	pc	82	3
6993	7007	0	5	dep_ex	6993	266	21555	ORF1ab	C	all	pc	83	3
6994	7008	0	5	dep_ex	6994	266	21555	ORF1ab	C	all	pc	84	3
6995	7009	0	5	dep_ex	6995	266	21555	ORF1ab	C	all	pc	85	3
6996	7010	0	5	dep_ex	6996	266	21555	ORF1ab	C	all	pc	86	3
6997	7011	0	5	dep_ex	6997	266	21555	ORF1ab	C	all	pc	87	3
6998	7012	0	5	dep_ex	6998	266	21555	ORF1ab	C	all	pc	88	3
6999	7013	0	5	dep_ex	6999	266	21555	ORF1ab	C	all	pc	89	3
7000	7014	0	5	dep_ex	7000	266	21555	ORF1ab	C	all	pc	90	3
7001	7015	0	4	dep_ex	7001	266	21555	ORF1ab	C	all	pc	91	3
7002	7016	0	3	dep_ex	7002	266	21555	ORF1ab	C	all	pc	92	3
7003	7017	0	2	dep_ex	7003	266	21555	ORF1ab	C	all	pc	93	3
7004	7018	0	1	dep_ex	7004	266	21555	ORF1ab	C	all	pc	94	3
7015	7029	0	1	dep_ex	7015	266	21555	ORF1ab	C	all	pc	95	3
7016	7030	0	2	dep_ex	7016	266	21555	ORF1ab	C	all	pc	96	3
7017	7031	0	3	dep_ex	7017	266	21555	ORF1ab	C	all	pc	97	3
7018	7032	0	4	dep_ex	7018	266	21555	ORF1ab	C	all	pc	98	3
7019	7033	0	5	dep_ex	7019	266	21555	ORF1ab	C	all	pc	99	3
7020	7034	0	6	dep_ex	7020	266	21555	ORF1ab	C	all	pc	100	3
7021	7035	0	7	dep_ex	7021	266	21555	ORF1ab	C	all	pc	101	3
7022	7036	0	8	dep_ex	7022	266	21555	ORF1ab	C	all	pc	102	3
7023	7037	0	9	dep_ex	7023	266	21555	ORF1ab	C	all	pc	103	3
7024	7038	0	10	dep_ex	7024	266	21555	ORF1ab	C	all	pc	104	3
7025	7039	0	11	dep_ex	7025	266	21555	ORF1ab	C	all	pc	105	3
7026	7040	0	12	dep_ex	7026	266	21555	ORF1ab	C	all	pc	106	3
7027	7041	0	13	dep_ex	7027	266	21555	ORF1ab	C	all	pc	107	3
7028	7042	0	13	dep_ex	7028	266	21555	ORF1ab	C	all	pc	108	3
7029	7043	0	13	dep_ex	7029	266	21555	ORF1ab	C	all	pc	109	3
7030	7044	0	12	dep_ex	7030	266	21555	ORF1ab	C	all	pc	110	3
7031	7045	0	11	dep_ex	7031	266	21555	ORF1ab	C	all	pc	111	3
7032	7046	0	10	dep_ex	7032	266	21555	ORF1ab	C	all	pc	112	3
7033	7047	0	9	dep_ex	7033	266	21555	ORF1ab	C	all	pc	113	3
7034	7048	0	8	dep_ex	7034	266	21555	ORF1ab	C	all	pc	114	3
7035	7049	0	7	dep_ex	7035	266	21555	ORF1ab	C	all	pc	115	3
7036	7050	0	6	dep_ex	7036	266	21555	ORF1ab	C	all	pc	116	3
7037	7051	0	5	dep_ex	7037	266	21555	ORF1ab	C	all	pc	117	3
7038	7052	0	4	dep_ex	7038	266	21555	ORF1ab	C	all	pc	118	3
7039	7053	0	3	dep_ex	7039	266	21555	ORF1ab	C	all	pc	119	3
7040	7054	0	2	dep_ex	7040	266	21555	ORF1ab	C	all	pc	120	3
7041	7055	0	1	dep_ex	7041	266	21555	ORF1ab	C	all	pc	121	3
7072	7086	0	1	dep_ex	7072	266	21555	ORF1ab	C	all	pc	122	3
7073	7087	0	2	dep_ex	7073	266	21555	ORF1ab	C	all	pc	123	3
7074	7088	0	3	dep_ex	7074	266	21555	ORF1ab	C	all	pc	124	3
7075	7089	0	4	dep_ex	7075	266	21555	ORF1ab	C	all	pc	125	3
7076	7090	0	5	dep_ex	7076	266	21555	ORF1ab	C	all	pc	126	3
7077	7091	0	6	dep_ex	7077	266	21555	ORF1ab	C	all	pc	127	3
7078	7092	0	6	dep_ex	7078	266	21555	ORF1ab	C	all	pc	128	3
7079	7093	0	7	dep_ex	7079	266	21555	ORF1ab	C	all	pc	129	3
7080	7094	0	8	dep_ex	7080	266	21555	ORF1ab	C	all	pc	130	3
7081	7095	0	9	dep_ex	7081	266	21555	ORF1ab	C	all	pc	131	3
7082	7096	0	9	dep_ex	7082	266	21555	ORF1ab	C	all	pc	132	3
7083	7097	0	9	dep_ex	7083	266	21555	ORF1ab	C	all	pc	133	3
7084	7098	0	9	dep_ex	7084	266	21555	ORF1ab	C	all	pc	134	3
7085	7099	0	9	dep_ex	7085	266	21555	ORF1ab	C	all	pc	135	3
7086	7100	0	9	dep_ex	7086	266	21555	ORF1ab	C	all	pc	136	3
7087	7101	0	8	dep_ex	7087	266	21555	ORF1ab	C	all	pc	137	3
7088	7102	0	7	dep_ex	7088	266	21555	ORF1ab	C	all	pc	138	3
7089	7103	0	6	dep_ex	7089	266	21555	ORF1ab	C	all	pc	139	3
7090	7104	0	5	dep_ex	7090	266	21555	ORF1ab	C	all	pc	140	3
7091	7105	0	4	dep_ex	7091	266	21555	ORF1ab	C	all	pc	141	3
7092	7106	0	3	dep_ex	7092	266	21555	ORF1ab	C	all	pc	142	3
7093	7107	0	3	dep_ex	7093	266	21555	ORF1ab	C	all	pc	143	3
7094	7108	0	2	dep_ex	7094	266	21555	ORF1ab	C	all	pc	144	3
7095	7109	0	1	dep_ex	7095	266	21555	ORF1ab	C	all	pc	145	3
7409	7423	0	1	dep_ex	7409	266	21555	ORF1ab	C	all	pc	146	3
7410	7424	0	2	dep_ex	7410	266	21555	ORF1ab	C	all	pc	147	3
7411	7425	0	3	dep_ex	7411	266	21555	ORF1ab	C	all	pc	148	3
7412	7426	0	4	dep_ex	7412	266	21555	ORF1ab	C	all	pc	149	3
7413	7427	0	5	dep_ex	7413	266	21555	ORF1ab	C	all	pc	150	3
7414	7428	0	6	dep_ex	7414	266	21555	ORF1ab	C	all	pc	151	3
7415	7429	0	7	dep_ex	7415	266	21555	ORF1ab	C	all	pc	152	3
7416	7430	0	8	dep_ex	7416	266	21555	ORF1ab	C	all	pc	153	3
7417	7431	0	9	dep_ex	7417	266	21555	ORF1ab	C	all	pc	154	3
7418	7432	0	10	dep_ex	7418	266	21555	ORF1ab	C	all	pc	155	3
7419	7433	0	11	dep_ex	7419	266	21555	ORF1ab	C	all	pc	156	3
7420	7434	0	12	dep_ex	7420	266	21555	ORF1ab	C	all	pc	157	3
7421	7435	0	12	dep_ex	7421	266	21555	ORF1ab	C	all	pc	158	3
7422	7436	0	12	dep_ex	7422	266	21555	ORF1ab	C	all	pc	159	3
7423	7437	0	12	dep_ex	7423	266	21555	ORF1ab	C	all	pc	160	3
7424	7438	0	11	dep_ex	7424	266	21555	ORF1ab	C	all	pc	161	3
7425	7439	0	10	dep_ex	7425	266	21555	ORF1ab	C	all	pc	162	3
7426	7440	0	9	dep_ex	7426	266	21555	ORF1ab	C	all	pc	163	3
7427	7441	0	8	dep_ex	7427	266	21555	ORF1ab	C	all	pc	164	3
7428	7442	0	7	dep_ex	7428	266	21555	ORF1ab	C	all	pc	165	3
7429	7443	0	6	dep_ex	7429	266	21555	ORF1ab	C	all	pc	166	3
7430	7444	0	5	dep_ex	7430	266	21555	ORF1ab	C	all	pc	167	3
7431	7445	0	4	dep_ex	7431	266	21555	ORF1ab	C	all	pc	168	3
7432	7446	0	3	dep_ex	7432	266	21555	ORF1ab	C	all	pc	169	3
7433	7447	0	2	dep_ex	7433	266	21555	ORF1ab	C	all	pc	170	3
7434	7448	0	1	dep_ex	7434	266	21555	ORF1ab	C	all	pc	171	3
7681	7695	0	1	dep_ex	7681	266	21555	ORF1ab	C	all	pc	172	3
7682	7696	0	2	dep_ex	7682	266	21555	ORF1ab	C	all	pc	173	3
7683	7697	0	3	dep_ex	7683	266	21555	ORF1ab	C	all	pc	174	3
7684	7698	0	4	dep_ex	7684	266	21555	ORF1ab	C	all	pc	175	3
7685	7699	0	5	dep_ex	7685	266	21555	ORF1ab	C	all	pc	176	3
7686	7700	0	6	dep_ex	7686	266	21555	ORF1ab	C	all	pc	177	3
7687	7701	0	7	dep_ex	7687	266	21555	ORF1ab	C	all	pc	178	3
7688	7702	0	8	dep_ex	7688	266	21555	ORF1ab	C	all	pc	179	3
7689	7703	0	9	dep_ex	7689	266	21555	ORF1ab	C	all	pc	180	3
7690	7704	0	10	dep_ex	7690	266	21555	ORF1ab	C	all	pc	181	3
7691	7705	0	11	dep_ex	7691	266	21555	ORF1ab	C	all	pc	182	3
7692	7706	0	12	dep_ex	7692	266	21555	ORF1ab	C	all	pc	183	3
7693	7707	0	13	dep_ex	7693	266	21555	ORF1ab	C	all	pc	184	3
7694	7708	0	14	dep_ex	7694	266	21555	ORF1ab	C	all	pc	185	3
7695	7709	0	15	dep_ex	7695	266	21555	ORF1ab	C	all	pc	186	3
7696	7710	0	14	dep_ex	7696	266	21555	ORF1ab	C	all	pc	187	3
7697	7711	0	13	dep_ex	7697	266	21555	ORF1ab	C	all	pc	188	3
7698	7712	0	12	dep_ex	7698	266	21555	ORF1ab	C	all	pc	189	3
7699	7713	0	11	dep_ex	7699	266	21555	ORF1ab	C	all	pc	190	3
7700	7714	0	10	dep_ex	7700	266	21555	ORF1ab	C	all	pc	191	3
7701	7715	0	9	dep_ex	7701	266	21555	ORF1ab	C	all	pc	192	3
7702	7716	0	8	dep_ex	7702	266	21555	ORF1ab	C	all	pc	193	3
7703	7717	0	7	dep_ex	7703	266	21555	ORF1ab	C	all	pc	194	3
7704	7718	0	6	dep_ex	7704	266	21555	ORF1ab	C	all	pc	195	3
7705	7719	0	5	dep_ex	7705	266	21555	ORF1ab	C	all	pc	196	3
7706	7720	0	4	dep_ex	7706	266	21555	ORF1ab	C	all	pc	197	3
7707	7721	0	3	dep_ex	7707	266	21555	ORF1ab	C	all	pc	198	3
7708	7722	0	2	dep_ex	7708	266	21555	ORF1ab	C	all	pc	199	3
7709	7723	0	1	dep_ex	7709	266	21555	ORF1ab	C	all	pc	200	3
9300	9314	0	1	dep_ex	9300	266	21555	ORF1ab	C	all	pc	201	3
9301	9315	0	2	dep_ex	9301	266	21555	ORF1ab	C	all	pc	202	3
9302	9316	0	3	dep_ex	9302	266	21555	ORF1ab	C	all	pc	203	3
9303	9317	0	4	dep_ex	9303	266	21555	ORF1ab	C	all	pc	204	3
9304	9318	0	5	dep_ex	9304	266	21555	ORF1ab	C	all	pc	205	3
9305	9319	0	6	dep_ex	9305	266	21555	ORF1ab	C	all	pc	206	3
9306	9320	0	7	dep_ex	9306	266	21555	ORF1ab	C	all	pc	207	3
9307	9321	0	8	dep_ex	9307	266	21555	ORF1ab	C	all	pc	208	3
9308	9322	0	9	dep_ex	9308	266	21555	ORF1ab	C	all	pc	209	3
9309	9323	0	10	dep_ex	9309	266	21555	ORF1ab	C	all	pc	210	3
9310	9324	0	11	dep_ex	9310	266	21555	ORF1ab	C	all	pc	211	3
9311	9325	0	12	dep_ex	9311	266	21555	ORF1ab	C	all	pc	212	3
9312	9326	0	13	dep_ex	9312	266	21555	ORF1ab	C	all	pc	213	3
9313	9327	0	14	dep_ex	9313	266	21555	ORF1ab	C	all	pc	214	3
9314	9328	0	15	dep_ex	9314	266	21555	ORF1ab	C	all	pc	215	3
9315	9329	0	14	dep_ex	9315	266	21555	ORF1ab	C	all	pc	216	3
9316	9330	0	13	dep_ex	9316	266	21555	ORF1ab	C	all	pc	217	3
9317	9331	0	12	dep_ex	9317	266	21555	ORF1ab	C	all	pc	218	3
9318	9332	0	11	dep_ex	9318	266	21555	ORF1ab	C	all	pc	219	3
9319	9333	0	10	dep_ex	9319	266	21555	ORF1ab	C	all	pc	220	3
9320	9334	0	9	dep_ex	9320	266	21555	ORF1ab	C	all	pc	221	3
9321	9335	0	8	dep_ex	9321	266	21555	ORF1ab	C	all	pc	222	3
9322	9336	0	7	dep_ex	9322	266	21555	ORF1ab	C	all	pc	223	3
9323	9337	0	6	dep_ex	9323	266	21555	ORF1ab	C	all	pc	224	3
9324	9338	0	5	dep_ex	9324	266	21555	ORF1ab	C	all	pc	225	3
9325	9339	0	4	dep_ex	9325	266	21555	ORF1ab	C	all	pc	226	3
9326	9340	0	3	dep_ex	9326	266	21555	ORF1ab	C	all	pc	227	3
9327	9341	0	2	dep_ex	9327	266	21555	ORF1ab	C	all	pc	228	3
9328	9342	0	1	dep_ex	9328	266	21555	ORF1ab	C	all	pc	229	3
9530	9544	0	1	dep_ex	9530	266	21555	ORF1ab	C	all	pc	230	3
9531	9545	0	2	dep_ex	9531	266	21555	ORF1ab	C	all	pc	231	3
9532	9546	0	3	dep_ex	9532	266	21555	ORF1ab	C	all	pc	232	3
9533	9547	0	3	dep_ex	9533	266	21555	ORF1ab	C	all	pc	233	3
9534	9548	0	3	dep_ex	9534	266	21555	ORF1ab	C	all	pc	234	3
9535	9549	0	3	dep_ex	9535	266	21555	ORF1ab	C	all	pc	235	3
9536	9550	0	3	dep_ex	9536	266	21555	ORF1ab	C	all	pc	236	3
9537	9551	0	3	dep_ex	9537	266	21555	ORF1ab	C	all	pc	237	3
9538	9552	0	3	dep_ex	9538	266	21555	ORF1ab	C	all	pc	238	3
9539	9553	0	3	dep_ex	9539	266	21555	ORF1ab	C	all	pc	239	3
9540	9554	0	3	dep_ex	9540	266	21555	ORF1ab	C	all	pc	240	3
9541	9555	0	3	dep_ex	9541	266	21555	ORF1ab	C	all	pc	241	3
9542	9556	0	3	dep_ex	9542	266	21555	ORF1ab	C	all	pc	242	3
9543	9557	0	3	dep_ex	9543	266	21555	ORF1ab	C	all	pc	243	3
9544	9558	0	3	dep_ex	9544	266	21555	ORF1ab	C	all	pc	244	3
9545	9559	0	2	dep_ex	9545	266	21555	ORF1ab	C	all	pc	245	3
9546	9560	0	1	dep_ex	9546	266	21555	ORF1ab	C	all	pc	246	3
9547	9561	0	1	dep_ex	9547	266	21555	ORF1ab	C	all	pc	247	3
9548	9562	0	2	dep_ex	9548	266	21555	ORF1ab	C	all	pc	248	3
9549	9563	0	3	dep_ex	9549	266	21555	ORF1ab	C	all	pc	249	3
9550	9564	0	4	dep_ex	9550	266	21555	ORF1ab	C	all	pc	250	3
9551	9565	0	5	dep_ex	9551	266	21555	ORF1ab	C	all	pc	251	3
9552	9566	0	6	dep_ex	9552	266	21555	ORF1ab	C	all	pc	252	3
9553	9567	0	7	dep_ex	9553	266	21555	ORF1ab	C	all	pc	253	3
9554	9568	0	8	dep_ex	9554	266	21555	ORF1ab	C	all	pc	254	3
9555	9569	0	9	dep_ex	9555	266	21555	ORF1ab	C	all	pc	255	3
9556	9570	0	10	dep_ex	9556	266	21555	ORF1ab	C	all	pc	256	3
9557	9571	0	11	dep_ex	9557	266	21555	ORF1ab	C	all	pc	257	3
9558	9572	0	12	dep_ex	9558	266	21555	ORF1ab	C	all	pc	258	3
9559	9573	0	13	dep_ex	9559	266	21555	ORF1ab	C	all	pc	259	3
9560	9574	0	14	dep_ex	9560	266	21555	ORF1ab	C	all	pc	260	3
9561	9575	0	15	dep_ex	9561	266	21555	ORF1ab	C	all	pc	261	3
9562	9576	0	14	dep_ex	9562	266	21555	ORF1ab	C	all	pc	262	3
9563	9577	0	13	dep_ex	9563	266	21555	ORF1ab	C	all	pc	263	3
9564	9578	0	12	dep_ex	9564	266	21555	ORF1ab	C	all	pc	264	3
9565	9579	0	11	dep_ex	9565	266	21555	ORF1ab	C	all	pc	265	3
9566	9580	0	10	dep_ex	9566	266	21555	ORF1ab	C	all	pc	266	3
9567	9581	0	9	dep_ex	9567	266	21555	ORF1ab	C	all	pc	267	3
9568	9582	0	8	dep_ex	9568	266	21555	ORF1ab	C	all	pc	268	3
9569	9583	0	7	dep_ex	9569	266	21555	ORF1ab	C	all	pc	269	3
9570	9584	0	6	dep_ex	9570	266	21555	ORF1ab	C	all	pc	270	3
9571	9585	0	5	dep_ex	9571	266	21555	ORF1ab	C	all	pc	271	3
9572	9586	0	4	dep_ex	9572	266	21555	ORF1ab	C	all	pc	272	3
9573	9587	0	3	dep_ex	9573	266	21555	ORF1ab	C	all	pc	273	3
9574	9588	0	2	dep_ex	9574	266	21555	ORF1ab	C	all	pc	274	3
9575	9589	0	1	dep_ex	9575	266	21555	ORF1ab	C	all	pc	275	3
9697	9711	0	1	dep_ex	9697	266	21555	ORF1ab	C	all	pc	276	3
9698	9712	0	2	dep_ex	9698	266	21555	ORF1ab	C	all	pc	277	3
9699	9713	0	3	dep_ex	9699	266	21555	ORF1ab	C	all	pc	278	3
9700	9714	0	4	dep_ex	9700	266	21555	ORF1ab	C	all	pc	279	3
9701	9715	0	5	dep_ex	9701	266	21555	ORF1ab	C	all	pc	280	3
9702	9716	0	6	dep_ex	9702	266	21555	ORF1ab	C	all	pc	281	3
9703	9717	0	7	dep_ex	9703	266	21555	ORF1ab	C	all	pc	282	3
9704	9718	0	8	dep_ex	9704	266	21555	ORF1ab	C	all	pc	283	3
9705	9719	0	9	dep_ex	9705	266	21555	ORF1ab	C	all	pc	284	3
9706	9720	0	10	dep_ex	9706	266	21555	ORF1ab	C	all	pc	285	3
9707	9721	0	11	dep_ex	9707	266	21555	ORF1ab	C	all	pc	286	3
9708	9722	0	12	dep_ex	9708	266	21555	ORF1ab	C	all	pc	287	3
9709	9723	0	13	dep_ex	9709	266	21555	ORF1ab	C	all	pc	288	3
9710	9724	0	14	dep_ex	9710	266	21555	ORF1ab	C	all	pc	289	3
9711	9725	0	15	dep_ex	9711	266	21555	ORF1ab	C	all	pc	290	3
9712	9726	0	14	dep_ex	9712	266	21555	ORF1ab	C	all	pc	291	3
9713	9727	0	13	dep_ex	9713	266	21555	ORF1ab	C	all	pc	292	3
9714	9728	0	12	dep_ex	9714	266	21555	ORF1ab	C	all	pc	293	3
